Time Stamp,f_x,f_y,f_z,w_x,w_y,w_z
61893.75,0.607131693,-0.063678268,9.708467329,0.004584193,-0.000869793,-0.000981526
61893.95,0.606181728,-0.012891992,9.710238684,0.004390313,-0.000697931,-0.000692442
61894.15,0.605761226,0.069053401,9.711448581,0.004231169,-0.00054597,-0.000500898
61894.35,0.606638305,0.129826322,9.711516484,0.004140424,-0.000432371,-0.000475092
61894.55,0.608394798,0.185458256,9.710682425,0.004101398,-0.000351024,-0.000577146
61894.75,0.609717037,0.226314309,9.709562789,0.004054552,-0.000285526,-0.000650508
61894.95,0.610404625,0.244926209,9.708210346,0.00399183,-0.000235572,-0.000671338
61895.15,0.610512466,0.26341938,9.706629162,0.003918698,-0.000201935,-0.000659269
61895.35,0.609927521,0.277456887,9.704809622,0.003831071,-0.000186554,-0.000598663
61895.55,0.609895539,0.279474347,9.701977456,0.003786584,-0.000214327,-0.00062438
61895.75,0.610470203,0.273499262,9.698060495,0.00378941,-0.000288924,-0.000744473
61895.95,0.610895892,0.259200589,9.693417897,0.003806593,-0.000401237,-0.000873862
61896.15,0.611426733,0.23709474,9.68815842,0.003844872,-0.000545349,-0.001034001
61896.35,0.611860157,0.212533714,9.683279952,0.003877852,-0.000679955,-0.001184801
61896.55,0.612081204,0.186698946,9.679117796,0.003895061,-0.000792109,-0.001305969
61896.75,0.612417599,0.159173955,9.675482956,0.003911604,-0.000888453,-0.001431241
61896.95,0.612718454,0.132710017,9.672699065,0.003916222,-0.000956921,-0.00153774
61897.15,0.612665544,0.109577372,9.670489829,0.003904216,-0.001013141,-0.00159846
61897.35,0.612233526,0.09177781,9.668995151,0.003872201,-0.001052167,-0.001605983
61897.55,0.611381203,0.08225243,9.668826379,0.003806664,-0.001048489,-0.001541496
61897.75,0.610193039,0.080009418,9.669695589,0.003717219,-0.001015339,-0.001419528
61897.95,0.609282776,0.076790891,9.670644586,0.003646068,-0.00099164,-0.001324951
61898.15,0.608775042,0.071817413,9.671553243,0.003600784,-0.000982995,-0.001272656
61898.35,0.608537708,0.067608917,9.672491564,0.003575928,-0.000988535,-0.00124628
61898.55,0.60868818,0.063945194,9.673407808,0.003577339,-0.001010941,-0.001257977
61898.75,0.608885881,0.068771378,9.675277244,0.0035732,-0.001010964,-0.001248046
61898.95,0.609134014,0.083505012,9.67817415,0.003562733,-0.00098663,-0.001213797
61899.15,0.609750104,0.104375366,9.681563102,0.003569023,-0.000960593,-0.001199531
61899.35,0.610570495,0.130730183,9.685468273,0.003582017,-0.000926446,-0.001189063
61899.55,0.611308059,0.153228026,9.689162408,0.003594175,-0.000896053,-0.001176673
61899.75,0.61192049,0.168814899,9.692376801,0.003605539,-0.000874492,-0.001165822
61899.95,0.612336015,0.179771146,9.695354998,0.003608248,-0.000851368,-0.001142322
61900.15,0.612532788,0.183325359,9.697824629,0.003603653,-0.000832697,-0.001111465
61900.35,0.612832332,0.182659829,9.699841268,0.003608283,-0.000825191,-0.001100254
61900.55,0.613224374,0.176839078,9.701298757,0.003621955,-0.000830218,-0.001110194
61900.75,0.61351385,0.160248592,9.70177607,0.003637932,-0.000852608,-0.001135123
61900.95,0.61378941,0.13670577,9.701497174,0.003657991,-0.000888063,-0.001175497
61901.15,0.614086305,0.117643409,9.70134347,0.003673852,-0.000913705,-0.001206951
61901.35,0.614403159,0.105276,9.701444222,0.00368335,-0.00092521,-0.001224446
61901.55,0.614820493,0.09953881,9.701698438,0.003691245,-0.000926398,-0.001237429
61901.75,0.615318388,0.101938438,9.702185805,0.003694776,-0.000913551,-0.001240638
61901.95,0.615752401,0.10272291,9.702118684,0.003693576,-0.000901829,-0.001243629
61902.15,0.616123381,0.102016724,9.701446963,0.003687375,-0.000891394,-0.001246914
61902.35,0.616481876,0.106728814,9.700652339,0.003672935,-0.000870041,-0.001239418
61902.55,0.616807559,0.113575271,9.699627987,0.003652709,-0.000843654,-0.001225989
61902.75,0.617162573,0.11945075,9.698672011,0.003636013,-0.000819774,-0.001215973
61902.95,0.617558607,0.124049774,9.697919188,0.003624688,-0.000799258,-0.00121013
61903.15,0.617950548,0.124992373,9.697171166,0.003618076,-0.000785655,-0.001210064
61903.35,0.618356438,0.12251193,9.696575625,0.003617818,-0.000779067,-0.001216163
61903.55,0.618779143,0.122300681,9.696250537,0.003617579,-0.00076895,-0.001217997
61903.75,0.61921572,0.124222738,9.696245111,0.003617699,-0.000755607,-0.001215377
61903.95,0.619684908,0.125591261,9.696709779,0.003623582,-0.000744635,-0.001213895
61904.15,0.620170634,0.127561394,9.697540708,0.003632379,-0.000733875,-0.001211167
61904.35,0.620615572,0.129135519,9.698203067,0.003639296,-0.000724816,-0.001208238
61904.55,0.621007731,0.13005341,9.698605425,0.003643598,-0.000718078,-0.001205538
61904.75,0.621349725,0.131912502,9.698838476,0.003644009,-0.000710892,-0.001200118
61904.95,0.621629677,0.134159161,9.698830978,0.003640285,-0.000704405,-0.001192782
61905.15,0.62188119,0.135494033,9.698980992,0.00363825,-0.000701594,-0.001186093
61905.35,0.622100343,0.135971781,9.699306795,0.003637835,-0.000702555,-0.001179833
61905.55,0.622254276,0.13562486,9.699524966,0.003635729,-0.000707167,-0.001173589
61905.75,0.622358062,0.134485524,9.699726028,0.003633589,-0.00071509,-0.001167877
61905.95,0.622440072,0.133909774,9.69989064,0.003632002,-0.000722285,-0.001162003
61906.15,0.622503477,0.1341098,9.699980265,0.003631052,-0.000727929,-0.001156094
61906.35,0.622553562,0.134612616,9.700089469,0.003632342,-0.000733088,-0.001151062
61906.55,0.622590747,0.135694771,9.70016903,0.003635643,-0.000736878,-0.001146839
61906.75,0.622578815,0.136820999,9.700071316,0.003638661,-0.000741107,-0.001143334
61906.95,0.622516808,0.137964704,9.6997796,0.003641582,-0.000745692,-0.001140825
61907.15,0.622423682,0.13971007,9.699298361,0.003645402,-0.000748592,-0.001139442
61907.35,0.622285288,0.141721591,9.698638508,0.003649839,-0.000750988,-0.001139202
61907.55,0.622087794,0.143294912,9.697992531,0.003655801,-0.000755571,-0.001139978
61907.75,0.62182646,0.14430815,9.697395436,0.003663551,-0.000762803,-0.0011418
61907.95,0.621490093,0.14465085,9.696786488,0.003672497,-0.000772968,-0.001144775
61908.15,0.621076198,0.144227434,9.696198657,0.003683042,-0.000786367,-0.001149024
61908.35,0.620601592,0.143666702,9.695524899,0.00369559,-0.000800446,-0.001155029
61908.55,0.620062454,0.142925028,9.694757434,0.00371024,-0.00081527,-0.001162943
61908.75,0.619445633,0.14155068,9.693988169,0.003727303,-0.000832529,-0.001172711
61908.95,0.618782417,0.13984449,9.693203555,0.003745791,-0.000850915,-0.001183803
61909.15,0.618157815,0.138303314,9.692436185,0.003762135,-0.0008683,-0.001194071
61909.35,0.617600278,0.137046656,9.691712935,0.003775285,-0.000884083,-0.001202838
61909.55,0.617118096,0.136232497,9.691014618,0.003785309,-0.000897518,-0.001210206
61909.75,0.616735188,0.1359278,9.690368581,0.003791261,-0.000908199,-0.001215576
61909.95,0.6164042,0.135604224,9.689810951,0.003794952,-0.000918104,-0.001219969
61910.15,0.61614054,0.135316497,9.689358141,0.003795908,-0.00092687,-0.001223087
61910.35,0.616005338,0.135446126,9.68903415,0.003791821,-0.000932818,-0.001223516
61910.55,0.615976847,0.135804248,9.688830659,0.003783623,-0.000936526,-0.001221915
61910.75,0.615999573,0.136149075,9.688663672,0.003773648,-0.000938725,-0.001220079
61910.95,0.616071405,0.136448279,9.688523786,0.003762078,-0.000939353,-0.001218223
61911.15,0.616193134,0.136592471,9.688436455,0.003748953,-0.000938672,-0.001216346
61911.35,0.616369612,0.136595512,9.688396454,0.003734217,-0.000936425,-0.0012145
61911.55,0.616681165,0.136860499,9.68847675,0.003714867,-0.000930852,-0.001210661
61911.75,0.617138151,0.137394645,9.688688601,0.003690621,-0.00092172,-0.001204687
61911.95,0.617708967,0.138007891,9.688992347,0.003662849,-0.000909545,-0.001197635
61912.15,0.618366041,0.138730383,9.689380708,0.003632341,-0.000894801,-0.001189551
61912.35,0.618952672,0.139324426,9.68976805,0.003604084,-0.000880606,-0.001182251
61912.55,0.619417586,0.139713135,9.690123582,0.003579769,-0.000867897,-0.001176381
61912.75,0.619779364,0.140003927,9.690465177,0.00355874,-0.000856186,-0.001171443
61912.95,0.61999019,0.140108349,9.690764123,0.003542606,-0.000846352,-0.001168085
61913.15,0.620107432,0.140018899,9.69104319,0.003529819,-0.000837154,-0.001166044
61913.35,0.620108757,0.139709747,9.691289748,0.003521151,-0.000828939,-0.001165585
61913.55,0.619894674,0.139063734,9.691449594,0.003519759,-0.000823608,-0.001167779
61913.75,0.61951,0.138138877,9.691552604,0.003524316,-0.0008202,-0.001172109
61913.95,0.619091638,0.137187774,9.691699029,0.003530442,-0.000815983,-0.001176615
61914.15,0.618655249,0.136244546,9.691904292,0.003537694,-0.00081058,-0.00118104
61914.35,0.618194149,0.135272981,9.692161823,0.003546426,-0.00080402,-0.001185597
61914.55,0.617712867,0.134296514,9.692480145,0.003556544,-0.000796136,-0.00119015
61914.75,0.617062092,0.133098064,9.692764833,0.003572876,-0.000789747,-0.001196562
61914.95,0.616229591,0.131661915,9.69301099,0.003595898,-0.000785001,-0.001204978
61915.15,0.615292956,0.130121375,9.693275578,0.003623194,-0.000780303,-0.00121433
61915.35,0.614265942,0.128487684,9.693530603,0.003654205,-0.000776183,-0.001224594
61915.55,0.613314669,0.126965748,9.693766013,0.00368312,-0.000771979,-0.001234198
61915.75,0.61249802,0.125637055,9.693981154,0.003707922,-0.00076741,-0.001242541
61915.95,0.611780851,0.124455316,9.694148977,0.00372977,-0.000763247,-0.001250063
61916.15,0.611220667,0.12350058,9.694272299,0.003746723,-0.000759136,-0.001256167
61916.35,0.610782272,0.122752183,9.694384882,0.003760239,-0.000754541,-0.001261008
61916.55,0.610491213,0.122249125,9.694482857,0.003769466,-0.00074942,-0.001264328
61916.75,0.610449302,0.122120267,9.694551285,0.00377082,-0.000743572,-0.001265174
61916.95,0.610609682,0.12231193,9.694587356,0.003766016,-0.000737281,-0.001264005
61917.15,0.610803594,0.122598695,9.694557571,0.003760928,-0.000732065,-0.001262645
61917.35,0.611010391,0.1229562,9.694450905,0.003756315,-0.000728249,-0.001261332
61917.55,0.611246838,0.123418109,9.69427467,0.003751693,-0.000725592,-0.001259838
61917.75,0.611503818,0.123975112,9.694016572,0.003747408,-0.00072439,-0.001258291
61917.95,0.611950549,0.124854682,9.693679016,0.00373758,-0.000723762,-0.001254966
