Time Stamp,Lat,Long,Alt,Azi,Pitch,Roll,Vn,Ve,Vu,Forward Speed
59647,43.65927868,-79.37822727,63.6664,343.0612659,0.057224098,-0.465760177,0.0015,-0.0008,-0.003,0.003448188
59647.2,43.65927868,-79.37822727,63.6663,343.0591018,0.058371046,-0.467043103,-0.0005,-0.0001,-0.0022,0.002258318
59647.4,43.65927868,-79.37822727,63.6663,343.0594892,0.05914329,-0.463207191,0.0006,0.0003,-0.0025,0.002588436
59647.6,43.65927868,-79.37822727,63.6662,343.0601089,0.058755707,-0.466749828,-0.0005,-0.001,-0.0025,0.002738613
59647.8,43.65927868,-79.37822727,63.6661,343.0590963,0.059008121,-0.462328698,0.0005,0.0024,-0.0025,0.003501428
59648,43.65927868,-79.37822727,63.666,343.0602621,0.058446941,-0.463621689,0,-0.001,-0.002,0.002236068
59648.2,43.65927868,-79.37822727,63.666,343.0590056,0.059096953,-0.463596513,0.0008,0.0029,-0.0017,0.003455431
59648.4,43.65927868,-79.37822727,63.6659,343.0601399,0.058974251,-0.461177798,-0.0003,0.0004,-0.0034,0.003436568
59648.6,43.65927868,-79.37822727,63.6658,343.0586936,0.059679511,-0.462979523,-0.0006,0.0019,-0.0028,0.003436568
59648.8,43.65927868,-79.37822727,63.6657,343.0585842,0.057872047,-0.459671626,0.0001,0.0016,-0.0027,0.003140064
59649,43.65927868,-79.37822727,63.6656,343.0592892,0.060695737,-0.464037133,-0.0013,0.0007,-0.004,0.004263801
59649.2,43.65927868,-79.37822727,63.6655,343.059486,0.058054674,-0.464119122,0.0011,0.0022,-0.0011,0.002694439
59649.4,43.65927869,-79.37822728,63.6654,343.0604363,0.057386283,-0.464299758,-0.0004,0.0014,-0.0026,0.002979933
59649.6,43.65927869,-79.37822728,63.6653,343.0588607,0.058698656,-0.463970028,0.0006,0.0025,0.0009,0.002723968
59649.8,43.65927869,-79.37822728,63.6652,343.0607835,0.056472315,-0.462843705,-0.0005,0.0021,-0.0012,0.002469818
59650,43.65927869,-79.37822728,63.6651,343.0582302,0.058512298,-0.46474691,-0.0001,0.002,-0.0001,0.002004994
59650.2,43.65927869,-79.37822728,63.6651,343.0614308,0.055955729,-0.465084664,0.0006,0.0015,0.0004,0.001664332
59650.4,43.65927869,-79.37822728,63.665,343.0615012,0.057650153,-0.464925256,-0.0005,0.0003,0.0008,0.000989949
59650.6,43.65927869,-79.37822728,63.6649,343.0603011,0.058604826,-0.464053041,-0.0007,0.0012,0.0017,0.00219545
59650.8,43.65927869,-79.37822728,63.6648,343.0619564,0.058245936,-0.46276657,0.0005,-0.0005,0.0007,0.000994987
59651,43.65927869,-79.37822728,63.6647,343.0605164,0.05977159,-0.463719618,-0.0023,0.0004,0.0007,0.002437212
59651.2,43.65927869,-79.37822728,63.6646,343.0616801,0.056385078,-0.464302189,0.0008,0,0.001,0.001280625
59651.4,43.65927869,-79.37822728,63.6645,343.0611848,0.056677644,-0.464003788,-0.0008,0,0.0007,0.001063015
59651.6,43.65927869,-79.37822728,63.6645,343.0603256,0.057629377,-0.463018237,0.0016,0.0009,0.0027,0.003264966
59651.8,43.65927869,-79.37822728,63.6644,343.0619127,0.05656566,-0.46459582,0.0005,-0.0004,0.0023,0.002387467
59652,43.65927869,-79.37822728,63.6643,343.0606916,0.056210984,-0.463686666,0.0023,0.0002,0.0038,0.004446347
59652.2,43.65927869,-79.37822728,63.6642,343.0600265,0.058709633,-0.464905844,-0.001,-0.0006,0.0013,0.001746425
59652.4,43.65927869,-79.37822728,63.6642,343.0591995,0.057634874,-0.464211283,0.0011,0.0006,0.0031,0.003343651
59652.6,43.65927869,-79.37822728,63.6641,343.060514,0.057421424,-0.46308148,0.0004,0.0001,0.0019,0.001944222
